Authors,Title,Abstract,Link,Publication,Volume,Number,Pages,Year,Publisher
"Patel, Hitesh Laxmichand; Agarwal, Amit; Panda, Srikant; Meghwani, Hansa; Dua, Karan; Li, Paul; Sheng, Tao; Ravi, Sujith; Roth, Dan; ",Pcri: Measuring context robustness in multimodal models for enterprise applications,"The reliability of Multimodal Large Language Models (MLLMs) in real-world settings is often undermined by sensitivity to irrelevant or distracting visual context, an aspect not captured by existing evaluation metrics. We introduce the \textbf{Patch Context Robustness Index (PCRI)}, the first systematic and interpretable score for quantifying MLLM robustness to variations in visual context granularity, measuring performance changes between localized image patches and full-image input. Applying PCRI to 19 state-of-the-art MLLMs across 15 vision-language benchmarks, we find that most leading models remain brittle to background noise, with only a few, such as InternVL2-26B and Qwen2VL-72B, demonstrating consistent robustness across tasks. PCRI analysis also highlights how different model architectures handle and integrate visual context, offering actionable diagnostic insight for both researchers and practitioners. PCRI enables rigorous comparison of context robustness, supporting principled model selection and guiding the development of future architectures and training strategies for robust, real-world deployment.",https://ui.adsabs.harvard.edu/abs/2025arXiv250923879L/abstract,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: Industry Track,,,195-214,2025,
"Agarwal, Amit; Patel, Hitesh Laxmichand; Panda, Srikant; Meghwani, Hansa; Singh, Jyotika; Dua, Karan; Li, Paul; Sheng, Tao; Ravi, Sujith; Roth, Dan; ",RCI: A Score for Evaluating Global and Local Reasoning in Multimodal Benchmarks,"Multimodal Large Language Models (MLLMs) have achieved impressive results on vision-language benchmarks, yet it remains unclear whether these benchmarks assess genuine global reasoning or allow success via localized visual cues. Existing evaluation methods do not explicitly measure this distinction, hindering effective dataset curation and real-world focused model development. We introduce Region Comprehension Index (RCI), the first model-based score to directly quantify a dataset’s reliance on global versus local visual information. RCI systematically compares reference-model performance on image patches versus full images, revealing if tasks require holistic image understanding or can be solved with partial or localized visual cues. When applying RCI to 13 widely used multimodal benchmarks, we observed that most of them favor localized reasoning and exhibit significant spatial biases, indicating potential risks in real-world applications. RCI equips researchers & practitioners with an actionable tool for diagnosing & mitigating these biases, enabling the construction of datasets and benchmarks to foster the development of robust, enterprise-ready multimodal systems.",https://aclanthology.org/2025.emnlp-industry.10/,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: Industry Track,,,138-157,2025,
"Hari, Vishnu; Panda, Kalpana; Panda, Srikant; Agarwal, Amit; Patel, Hitesh Laxmichand; ",Who's Asking? Investigating Bias Through the Lens of Disability-Framed Queries in LLMs,"Large Language Models (LLMs) routinely infer users' demographic traits from phrasing alone, which can result in biased responses, even when no explicit demographic information is provided. The role of disability cues in shaping these inferences remains largely uncharted. Thus, we present the first systematic audit of disability-conditioned demographic bias across eight state-of-the-art instruction-tuned LLMs ranging from 3B to 72B parameters. Using a balanced template corpus that pairs nine disability categories with six real-world business domains, we prompt each model to predict five demographic attributes - gender, socioeconomic status, education, cultural background, and locality - under both neutral and disability-aware conditions. Across a varied set of prompts, models deliver a definitive demographic guess in up to 97% of cases, exposing a strong tendency to make arbitrary inferences with no clear justification. Disability context heavily shifts predicted attribute distributions, and domain context can further amplify these deviations. We observe that larger models are simultaneously more sensitive to disability cues and more prone to biased reasoning, indicating that scale alone does not mitigate stereotype amplification. Our findings reveal persistent intersections between ableism and other demographic stereotypes, pinpointing critical blind spots in current alignment strategies. We release our evaluation framework and results to encourage disability-inclusive benchmarking and recommend integrating abstention calibration and counterfactual fine-tuning to curb unwarranted demographic inference. Code and data will be released on acceptance.",https://openaccess.thecvf.com/content/ICCV2025W/CV4A11y/html/Hari_Whos_Asking_Investigating_Bias_Through_the_Lens_of_Disability-Framed_Queries_ICCVW_2025_paper.html,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,6644-6655,2025,
"Panda, Srikant; Patel, Hitesh Laxmichand; Al-Khalifa, Shahad; Agarwal, Amit; Al-Khalifa, Hend; Al-Ghamdi, Sharefah; ",DAIQ: Auditing Demographic Attribute Inference from Question in LLMs,"Large Language Models (LLMs) are known to reflect social biases when demographic attributes, such as gender or race, are explicitly present in the input. But even in their absence, these models still infer user identities based solely on question phrasing. This subtle behavior has received far less attention, yet poses serious risks: it violates expectations of neutrality, infers unintended demographic information, and encodes stereotypes that undermine fairness in various domains including healthcare, finance and education. We introduce Demographic Attribute Inference from Questions (DAIQ), a task and framework for auditing an overlooked failure mode in language models: inferring user demographic attributes from questions that lack explicit demographic cues. Our approach leverages curated neutral queries, systematic prompting, and both quantitative and qualitative analysis to uncover how models infer demographic information. We show that both open and closed source LLMs do assign demographic labels based solely on question phrasing. Prevalence and consistency of demographic inferences across diverse models reveal a systemic and underacknowledged risk: LLMs can fabricate demographic identities, reinforce societal stereotypes, and propagate harms that erode privacy, fairness, and trust posing a broader threat to social equity and responsible AI deployment. To mitigate this, we develop a prompt-based guardrail that substantially reduces identity inference and helps align model behavior with fairness and privacy objectives.",https://arxiv.org/abs/2508.15830,arXiv preprint arXiv:2508.15830,,,,2025,
"Agarwal, Amit; Meghwani, Hansa; Patel, Hitesh Laxmichand; Sheng, Tao; Ravi, Sujith; Roth, Dan; ",Aligning llms for multilingual consistency in enterprise applications,"Large language models (LLMs) remain unreliable for global enterprise applications due to substantial performance gaps between high-resource and mid/low-resource languages, driven by English-centric pretraining and internal reasoning biases. This inconsistency undermines customer experience and operational reliability in multilingual settings such as customer support, content moderation, and information retrieval. Even with advanced Retrieval-Augmented Generation (RAG) systems, we observe up to an 29% accuracy drop in non-English languages compared to English. We propose a practical, batch-wise alignment strategy for fine-tuning LLMs, leveraging semantically equivalent multilingual data in each training batch to directly align model outputs across languages. This approach improves non-English accuracy by up to 23.9% without compromising English performance, model reasoning, or retrieval quality. Our method is simple to implement, scalable, and integrates seamlessly with existing LLM training & deployment pipelines, enabling more robust and equitable multilingual AI solutions in industry.",https://aclanthology.org/2025.emnlp-industry.9/,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: Industry Track,,,117-137,2025,
"Patel, Hitesh Laxmichand; Agarwal, Amit; ",SweEval: Do LLMs Really Swear? A Safety Benchmark for Testing Limits for Enterprise Use,"Enterprise customers are increasingly adopting Large Language Models (LLMs) for critical communication tasks, such as drafting emails, crafting sales pitches, and composing casual messages. Deploying such models across different regions requires them to understand diverse cultural and linguistic contexts and generate safe and respectful responses. For enterprise applications, it is crucial to mitigate reputational risks, maintain trust, and ensure compliance by effectively identifying and handling unsafe or offensive language. To address this, we introduce SweEval, a benchmark simulating real-world scenarios with variations in tone (positive or negative) and context (formal or informal). The prompts explicitly instruct the model to include specific swear words while completing the task. This benchmark evaluates whether LLMs comply with or resist such inappropriate instructions and assesses their alignment with ethical frameworks, cultural nuances, and language comprehension capabilities.",https://arxiv.org/abs/2505.17332,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies,3,,558-582,2024,
"Dua, Karan; Patel, Hitesh Laxmichand; Mittal, Puneet; Gupta, Ranjeet; Agarwal, Amit; Pabolu, Praneet; Panda, Srikant; Meghwani, Hansa; Horwood, Graham; Shah, Fahad; ",FlexDoc: Parameterized Sampling for Diverse Multilingual Synthetic Documents for Training Document Understanding Models,"Developing document understanding models at enterprise scale requires large, diverse, and well-annotated datasets spanning a wide range of document types. However, collecting such data is prohibitively expensive due to privacy constraints, legal restrictions, and the sheer volume of manual annotation needed-costs that can scale into millions of dollars. We introduce FlexDoc, a scalable synthetic data generation framework that combines Stochastic Schemas and Parameterized Sampling to produce realistic, multilingual semi-structured documents with rich annotations. By probabilistically modeling layout patterns, visual structure, and content variability, FlexDoc enables the controlled generation of diverse document variants at scale. Experiments on Key Information Extraction (KIE) tasks demonstrate that FlexDoc-generated data improves the absolute F1 Score by up to 11% when used to augment real datasets, while reducing annotation effort by over 90% compared to traditional hard-template methods. The solution is in active deployment, where it has accelerated the development of enterprise-grade document understanding models while significantly reducing data acquisition and annotation costs.",https://aclanthology.org/2025.emnlp-industry.105/,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: Industry Track,,,1500-1521,2025,
"Yadav, Sourabh; Agarwal, Amit; Pachauri, Kulbhushan; ",Fine-grained activity recognition using machine learning,"The present disclosure relates to a custom framework for fine-grained human activity recognition. One or more input videos may be accessed, where the one or more input videos comprise one or more frames depicting one or more actors and one or more objects. A plurality of object-pose interaction graphs may be generated for individual frames from the one or more input videos based at least in part on one or more objects of interest from the one or more objects and on one or more joint keypoints of the one or more actors. A first graph neural network may be trained based at least in part on the plurality of object-pose interaction graphs to identify spatial information for the one or more actors, the one or more objects of interest, and one or more interactions between the one or more actors and the one or more objects of interest. A second graph neural network may be trained based at least in part on the plurality of object-pose interaction graphs and one or more keyframes from the plurality of frames to identify temporal information for the one or more actors, the one or more objects of interest, and the one or more interactions between the one or more actors and the one or more objects of interest. A classifier may be trained to identify one or more actions in the one or more input videos based at least in part on the spatial information and the temporal information.",https://patents.google.com/patent/US20250232584A1/en,,,,,2025,Google Patents
"Panda, Srikant; Agarwal, Amit; Patel, Hitesh Laxmichand; ",Accesseval: Benchmarking disability bias in large language models,"Large Language Models (LLMs) are increasingly deployed across diverse domains but often exhibit disparities in how they handle real life queries. To systematically investigate these effects with various disability context, we introduce AccessEval, a large-scale benchmark evaluating total 21 close & open source LLMs across six real-world domains and nine disability types using paired Neutral and Disability-Aware Queries. We evaluated model outputs with metrics for factual accuracy, sentiment, and social perception. Our analysis reveals that responses to disability-aware queries tend to have higher factual error, more negative tone, and increased stereotyping with social perception compared to neutral queries. These effects show notable variation by domain and disability type. Disabilities affecting hearing, speech and mobility are disproportionately impacted. These disparities reveal persistent forms of ableism, highlighting the need for more comprehensive and nuanced assessment. We further argue that framing bias in terms of model performance within real-world decision making helps to better link model behaviors to the potential harms users may face. This approach guides the development of more effective and tailored fairness interventions. AccessEval, therefore, serves as a crucial tool for advancing equitable and inclusive language technologies.",https://aclanthology.org/2025.emnlp-main.1653/,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,,32492-32518,2025,
"Panda, Srikant; Agarwal, Amit; Pachauri, Kulbhushan; ",Dynamic vocabularies for conditioning a language model for transforming natural language to a logical form,"Techniques are disclosed herein for generating dynamic vocabularies for conditioning a language model. A dynamic vocabulary is constructed from an input prompt, database schema information for a database to be queried, and programming language information for a programming language to be used for querying the database to condition the language model to predict an output statement in the programming language. The dynamic vocabulary can be included in prompt information that is provided to the language model. The number of tokens in the dynamic vocabulary can be different than a number of tokens included in a vocabulary of the language model. By utilizing a dynamic vocabulary, the language model can be conditioned to predict tokens for the output statement that are contextually consistent with the tokens included the dynamic vocabulary.",https://patents.google.com/patent/US20250238614A1/en,,,,,2025,Google Patents
"Son, Guijin; Yang, Donghun; Patel, Hitesh Laxmichand; Agarwal, Amit; Ko, Hyunwoo; Lim, Chanuk; Panda, Srikant; Kim, Minhyuk; Drolia, Nikunj; Choi, Dasol; ",Pushing on Multilingual Reasoning Models with Language-Mixed Chain-of-Thought,"Recent frontier models employ long chain-of-thought reasoning to explore solution spaces in context and achieve stonger performance. While many works study distillation to build smaller yet capable models, most focus on English and little is known about language-specific reasoning. To bridge this gap, we first introduct **Language-Mixed CoT**, a reasoning schema that switches between English and a target language, using English as an anchor to excel in reasoning while minimizing translation artificats. As a Korean case study, we curate **Yi-Sang**: 5.79M native-Korean prompts from web Q&A, exams, STEM, and code; 3.7M long reasoning traces generated from Qwen3-32B; and a targeted 260k high-yield subset. We train ninve models (4B-35B) across six families (Qwen2.5, Llama-3.1, Gemma-3, etc). Our best model, **KO-REAson-35B**, achieves state-of-the-art performance, with the highest overall average score (64.0 \pm 25), ranking first on 5/9 benchmarks and second on the remainder. Samller and mid-sized models also benefit substantially, with an average improvement of +18.6 points across teh evaluated nine benchmarks. Ablations show **Language-Mixed CoT** is more effective than monolingual CoT, also resulting in cross-lingual and mult-modal performance gains. We release our data-curation pipeline, evaluation system, datasets, and models to advance research on language-specific reasoning. Data and model collection: https://huggingface.co/KOREAson.",https://arxiv.org/abs/2510.04230,arXiv preprint arXiv:2510.04230,,,,2025,
"Laxmichand Patel, Hitesh; Agarwal, Amit; Panda, Srikant; Meghwani, Hansa; Dua, Karan; Li, Paul; Sheng, Tao; Ravi, Sujith; Roth, Dan; ",PCRI: Measuring Context Robustness in Multimodal Models for Enterprise Applications,"The reliability of Multimodal Large Language Models (MLLMs) in real-world settings is often undermined by sensitivity to irrelevant or distracting visual context, an aspect not captured by existing evaluation metrics. We introduce the Patch Context Robustness Index (PCRI), the first systematic and interpretable score for quantifying MLLM robustness to variations in visual context granularity, measuring performance changes between localized image patches and full-image input. Applying PCRI to 19 state-of-the-art MLLMs across 15 vision-language benchmarks, we find that most leading models remain brittle to background noise, with only a few, such as InternVL2-26B and Qwen2VL-72B, demonstrating consistent robustness across tasks. PCRI analysis also highlights how different model architectures handle and integrate visual context, offering actionable diagnostic insight for both researchers and practitioners. PCRI enables rigorous comparison of context robustness, supporting principled model selection and guiding the development of future architectures and training strategies for robust, real-world deployment.",https://aclanthology.org/2025.emnlp-industry.14/,arXiv e-prints,,,arXiv: 2509.23879,2025,
"Wasi, Azmine Toushik; Islam, Mst Rafia; Rahman, Abdur; Yeasmin, Tawfia; Agarwal, Amit; Patel, Hitesh Laxmichand; Rafi, Taki Hasan; Chae, Dong-Kyu; ",LegalMind: An Intelligent Solution for Legal Document Analysis with User-Centric UI and AI-Driven Capabilities in Mobile Devices,"Navigating legal documents is challenging due to their complexity, jargon, and interconnected entities like names, dates, and provisions, leading to inefficiencies and critical oversights. With the growing reliance on mobile devices, there is an increasing demand for tools that enable efficient and accessible legal document analysis on-the-go. To address these issues, we introduce LegalMind, a mobile app that revolutionizes legal document analysis by integrating key features: Automatic Entity Mapping for quick identification of essential details, Intelligent Question Answering for context-aware responses, and Multi-document Analysis for comprehensive comparison. Designed with a user-centric UI, LegalMind streamlines information retrieval, reduces manual effort, and enhances decision-making for legal professionals. The intuitive UI allows users to easily navigate complex legal content on mobile devices. Our user study confirmed that LegalMind improves efficiency and accessibility, thus showing its ability to transform legal workflows by bridging the gap between complex legal challenges and AI-driven solutions while maintaining a seamless, accessible UI.",https://dl.acm.org/doi/abs/10.1145/3715070.3749262,Companion Publication of the 2025 Conference on Computer-Supported Cooperative Work and Social Computing,,,410-414,2025,
"Meena, Kapil Kumar; Bairwa, Deepak; Agarwal, Amit; ",A machine learning approach for unraveling the influence of air quality awareness on travel behavior,"Urbanization has escalated air pollution levels with subsequent health implications. This study explores the potential of awareness about air quality levels on travelers’ choices and proposes machine learning models to predict travel mode under exposure to different air quality levels. These models are Random Forest, XGBoost, Naive Bayes (NB), K-Nearest Neighbor, Support Vector Machine (SVM), and Multinomial Logistic Regression (MLR). The models are trained using data from individuals who have an understanding of air quality levels. The trained model is further used to predict travel mode choices when the knowledge of air quality reaches all travelers. Travel modes are aggregated into open/closed modes, private/public modes, and motorized/non-motorized/metro modes to assess the impact of air quality awareness and modal shift.",https://www.sciencedirect.com/science/article/pii/S2772662224000638,Decision Analytics Journal,11,,100459,2024,Elsevier
"Potdar, Saloni; Barahona, Lina M Rojas; Montella, Sebastien; ",Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: Industry Track,"Welcome to EMNLP Industry Track 2025! The EMNLP 2025 Industry Track highlights the key insights, novel research trends and challenges encountered in the design, development and deployment of practical language technology applications. Relevant topics include efficiency, maintainability, and scalability of the real-world, novel use cases, methods, and applications.
The main goal of the Industry Track is to be the foremost venue for bridging the gap and sharing insights between academia and industry. The track made its debut in ACL conferences at the NAACL 2018 and was first introduced to EMNLP in 2022. This year is the fourth edition of the Industry Track at EMNLP. We are thrilled to have received a record 449 submissions to the Industry Track this year, a hundred more submissions than last year. A total of 38 area chairs, out of which 16 with industry affiliations, were recruited to handle the submissions. Each paper underwent review by at least three program committee members, with area chairs providing a meta-review and recommendation. We encouraged an authorreviewer discussion stage for the Industry Track.",https://aclanthology.org/2025.emnlp-industry.0.pdf,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: Industry Track,,,,2025,
